Gene,Count
EU599041,9
Myc,8
Pcdhb18,8
Gm10471,8
Gm8369,7
Larp1b,7
Klra22,7
Mrgprb5,7
Olfr944,7
Psg17,7
Pyhin1,6
Cdh11,6
Atp6ap1,6
Serpina3m,6
B430306N03Rik,5
Zfp951,5
Fus,5
Gm364,5
Chuk,5
Rpl13a,5
H2-M10.2,5
Pnpla6,5
Ugt1a6a,4
Calcoco2,4
Kmt2e,4
Obscn,4
Olfr107,4
Rara,4
Kit,4
Cfh,3
Fmn2,3
Dppa1,3
Nlgn2,3
Nlrp1a,3
Nlrp1b,3
Wipf2,3
Zfp981,3
Krtap5-2,3
Mrgpra4,3
Scrg1,3
Tro,3
Vmn1r221,3
Prickle4,3
Kras,3
Prss2,3
Psg22,3
B4galt3,3
Cryge,3
H2-T-ps,3
Klrb1a,3
Vmn2r116,3
Olfr951,3
Scrib,3
Etfdh,3
Vmn2r121,3
Ktn1,2
Gm9573,2
Map3k6,2
BC024978,2
Zfp566,2
Proser3,2
Naf1,2
Cdcp1,2
Zcchc10,2
Inf2,2
Cmya5,2
Dppa4,2
Psd,2
Ttn,2
Clp1,2
Ahdc1,2
Igfbp7,2
Vmn2r22,2
Prb1,2
Nr5a2,2
Cd244,2
Rpl32l,2
Col6a2,2
Fos,2
Vmn2r89,2
Krt85,2
Muc4,2
Invs,2
C1ql2,2
Col4a3,2
Apol7b,2
Hmgn1,2
Smg5,2
Gltscr1,2
Pdcd6ip,2
Iqsec2,2
Cyp46a1,2
Slc6a3,2
Nkd2,2
Olfr338,2
Mtus2,2
Zfp808,2
Cpsf7,2
Map1a,2
Tnnt2,1
Myh6,1
Esp34,1
Rrbp1,1
Wfdc2,1
Tdrkh,1
Csmd2,1
Gm13128,1
Tada2b,1
Klra18,1
Ccdc8,1
Lmtk3,1
Prkcsh,1
Sik3,1
Zbtb16,1
Nxf2,1
Pdzd4,1
Pls3,1
Prg4,1
B3gnt2,1
Hsp90aa1,1
Stk24,1
Spats2,1
Alk,1
Pcdhb7,1
Adal,1
Tdpoz2,1
Setdb1,1
Skint5,1
Gapdh,1
Adam24,1
Wwc2,1
Tnfrsf11a,1
Cacna1s,1
Tfap2d,1
Col19a1,1
Mitd1,1
Ica1l,1
Smarcal1,1
Slc23a3,1
Tmem198,1
Pax3,1
Serpine2,1
Dgkd,1
Zdhhc17,1
Cand1,1
Agap2,1
Mbd6,1
Esyt1,1
Olfr788,1
Aim1,1
Hcn2,1
Cirbp,1
Atp8b3,1
Slfn4,1
Bcas3,1
Serpina5,1
Serpina3b,1
Ccnk,1
Rtl1,1
Strn3,1
Pcnx,1
Rnf113a2,1
Rps6kl1,1
Ptpn21,1
Gli3,1
Stab1,1
Galnt15,1
Fndc3a,1
Csnk1e,1
Nup155,1
Thpo,1
Olig2,1
Ankhd1,1
Lox,1
Fads3,1
Vti1a,1
Hspa12a,1
Prr5l,1
D430041D05Rik,1
Tyro3,1
Strc,1
Zfp341,1
Lpin3,1
Ctcfl,1
Ogfr,1
Dido1,1
Stpg3,1
Abca2,1
Gpsm1,1
Nup188,1
St6galnac4,1
Sh2d3c,1
Gsn,1
Lhx6,1
Galnt3,1
Wdr3,1
Nes,1
Rusc1,1
Il6ra,1
Sprr1b,1
Rptn,1
Ankrd35,1
Acp6,1
Lrrc42,1
Ptprf,1
Szt2,1
Tie1,1
Rhbdl2,1
Alpl,1
Crocc,1
Espn,1
Ndufb6,1
Cntfr,1
Cdk5rap2,1
Kank4,1
Gbp4,1
Drc1,1
Kcnk3,1
Uvssa,1
Fgfr3,1
Cpz,1
Ccdc149,1
Tecrl,1
Nup54,1
Lbx2,1
Mogs,1
Dysf,1
Gfpt1,1
D6Ertd527e,1
Prokr1,1
Fbln2,1
Tcerg1l,1
Lsp1,1
Tnfrsf26,1
Dmpk,1
Rtn2,1
Ppp1r13l,1
Nkpd1,1
Zfp112,1
Prx,1
Tbcb,1
Myh14,1
Slco3a1,1
Vps9d1,1
Bag4,1
Gtf2e2,1
Armc6,1
Ssbp4,1
Large,1
Ppm1m,1
Rrp9,1
Ifrd2,1
Slc38a3,1
Celsr3,1
Col5a3,1
Tmprss13,1
Rnf214,1
Gm684,1
Dopey1,1
H2afb3,1
Cfp,1
Hs6st2,1
1700013H16Rik,1
Fam47c,1
Cdh7,1
Gm867,1
Acly,1
Alyref,1
Usp32,1
Rin3,1
BC005537,1
Gm5089,1
Ppp6r2,1
Lrrk2,1
Kalrn,1
Nfkbiz,1
Son,1
Ccdc154,1
Svs2,1
Nr5a1,1
Ccna2,1
Zfp987,1
BC005561,1
Cfap73,1
Oas1a,1
Anapc5,1
Mki67,1
Cemip,1
Pkd1l3,1
Nrp1,1
Ap3m2,1
Ces1f,1
Robo4,1
Clk3,1
Cxx1c,1
Pkp1,1
Brinp3,1
Becn2,1
Mia3,1
Slc9a2,1
Rev3l,1
Caskin2,1
Ccdc57,1
Gp1ba,1
Krtap4-16,1
Bicd2,1
Chdh,1
Lrrc16b,1
Krt75,1
Cmbl,1
Mapk8ip2,1
Gmnc,1
Cpn2,1
Iqcb1,1
Vmn2r108,1
H2-T23,1
Cebpz,1
Apc,1
Sfxn2,1
Ephb4,1
H1fx,1
Atf5,1
Cln6,1
Morf4l2,1
Shroom2,1
4933436I01Rik,1
Cd99l2,1
Tktl1,1
Eef1g,1
Isg15,1
Mfge8,1
Gm5134,1
Chst11,1
3632451O06Rik,1
Tmprss12,1
E430025E21Rik,1
Aqr,1
Scrt2,1
Pkp4,1
Mtf1,1
Gm13212,1
Foxn4,1
Nos3,1
Slc34a2,1
Dchs1,1
Prr19,1
Catsperg2,1
Wdr59,1
AF366264,1
4930513N10Rik,1
Olfr836,1
Dcx,1
Cpa6,1
R3hdm1,1
Nav3,1
Tns4,1
Fam193b,1
Supt16,1
Acin1,1
Parp4,1
Mtmr9,1
Kcns2,1
Kmt2d,1
Ppm1f,1
Plg,1
Tmem217,1
Btnl4,1
Tmem63b,1
Abcg8,1
Pcdhb6,1
Fbn2,1
Hnrnpul2,1
Kcna4,1
Card9,1
Olfr1250,1
Slc22a15,1
Dennd2c,1
Otud7b,1
Lepr,1
Ube4b,1
Mmrn1,1
Olfr653,1
Ankle1,1
Fbxw27,1
Nckap5,1
Map3k19,1
Klhdc8a,1
Tmcc2,1
Gm4788,1
Txndc9,1
Aox3,1
Klf7,1
Pnkd,1
Olfr1413,1
Rnf126,1
Prtn3,1
Sbno2,1
Krt14,1
Wnk4,1
Cd300lg,1
Ubtf,1
Smurf2,1
Otop2,1
Aatk,1
Ppp3r1,1
0610010F05Rik,1
P4ha2,1
Slc25a35,1
Trp53,1
Atp1b2,1
Slc2a4,1
Bcl6b,1
Trpv1,1
Fam58b,1
Asic2,1
Pnmt,1
Grb7,1
Csf3,1
Allc,1
Ccdc71l,1
Cdhr3,1
Sptb,1
Dnal1,1
Ylpm1,1
Irf2bpl,1
Tert,1
F2rl1,1
Sec24c,1
Polr3a,1
Asb14,1
Olfr1512,1
Mettl7a2,1
Pdzd2,1
Vps13b,1
Adcy8,1
Smpd5,1
Celsr1,1
Sbf1,1
Adcy6,1
Troap,1
Lima1,1
Spag6l,1
Gsc2,1
Olfr180,1
Krtap6-2,1
Zfp598,1
Tpsb2,1
Pnpla1,1
Abcg1,1
Zbtb12,1
H2-T10,1
Ranbp3,1
Khsrp,1
Lrrc30,1
Tmem200c,1
Tmem247,1
Ccdc178,1
Loxhd1,1
Olfr1490,1
Tctn3,1
Pdzd7,1
Pprc1,1
Aven,1
Wfdc15a,1
Qrfp,1
Ptrh1,1
Arfgap2,1
Agtr1b,1
1700125G22Rik,1
Slitrk3,1
Gucy1a3,1
Mnd1,1
Ash1l,1
Pygo2,1
Prr9,1
Usp24,1
Rnf220,1
Cdc20,1
Zfp691,1
Cited4,1
Dhdds,1
Ankrd6,1
Srsf12,1
Pigo,1
Tbc1d2,1
Fsd1l,1
Rgs3,1
Fgfrl1,1
Cux1,1
Usp42,1
Flt1,1
Paxip1,1
Cgref1,1
Brpf1,1
Il17re,1
Atn1,1
Hoxa1,1
Hoxa4,1
Kcmf1,1
Ccdc142,1
Spon1,1
Acsm2,1
Uros,1
Ifitm2,1
Muc5ac,1
Atp1a3,1
Vmn2r57,1
Slc6a21,1
Rhcg,1
Crebzf,1
Rsf1,1
Ces2g,1
Ttc13,1
Cdkn2aip,1
Ces5a,1
Tmem108,1
Camkv,1
Rnf123,1
Hhatl,1
Oaf,1
Peak1,1
Cspg4,1
Uaca,1
Mtfmt,1
Copb2,1
Zbtb33,1
