Gene,Count
Zwint,7
A330049N07Rik,7
Pcdh15,7
Rsph14,7
Gnaz,7
Rab36,7
Bcr,7
Specc1l,7
Adora2a,7
Gm5779,7
Upb1,7
4933407G14Rik,7
Gucd1,7
Snrpd3,7
Lrrc75b,7
Ggt1,7
Ggt5,7
Susd2,7
Cabin1,7
Ddt,7
Gstt3,7
Gstt1,7
Gstt4,7
Gstt2,7
Mif,7
Derl3,7
Smarcb1,7
Mmp11,7
Chchd10,7
Gm867,7
Vpreb3,7
Gm5134,7
Mir6409,7
Zfp280b,7
Slc5a4b,7
Slc5a4a,7
Prmt2,7
Mir678,7
S100b,7
Dip2a,7
Pcnt,7
1700094J05Rik,7
2610028H24Rik,7
Ybey,7
Mcm3ap,7
Lss,7
4930483K19Rik,7
Spatc1l,7
Ftcd,7
Col6a2,7
Col6a1,7
Pcbp3,7
Gm10787,7
Slc19a1,7
Col18a1,7
Gm10941,7
Pofut2,7
Adarb1,7
Gm17769,7
Fam207a,7
Itgb2,7
Pttg1ip,7
Sumo3,7
Ube2g2,7
Mir1930,7
Tspear,7
Gm19402,7
Gm10272,7
Gm10024,7
Gm10142,7
Krtap12-1,7
Gm10100,7
Gm3238,7
Gm19668,7
Gm2696,7
Krtap10-4,7
Krtap10-10,7
Gm10318,7
Gm3285,7
1700009J07Rik,7
Lrrc3,7
Trpm2,7
1810043G02Rik,7
Pfkl,7
Aire,7
Dnmt3l,7
Icosl,7
D10Jhu81e,7
Pwp2,7
Trappc10,7
Agpat3,7
Mir7659,7
Rrp1,7
Mir6907,7
Cstb,7
Mir6410,7
Pdxk,7
Mir6908,7
Ilvbl,7
Syde1,7
Olfr1357,7
Casp14,7
Ccdc105,7
Slc1a6,7
Olfr1356,7
Olfr1355,7
Olfr1354,7
Olfr8,7
Olfr1353,7
Olfr1352,7
Olfr1351,7
Olfr57,7
2610008E11Rik,7
Vmn2r80,7
Vmn2r81,7
Vmn2r82,7
Vmn2r83,7
Plpp2,7
Mir6909,7
Mier2,7
Theg,7
C2cd4c,7
Shc2,7
