"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1","Amplified",0.33,75,0,1,1,0,1,1
"2","Amplified",3.1,74,0,2,1,0,1,1
"3","Amplified",5,72,0,1,1,0,1,1
"4","Amplified",7.1,71,0,1,1,0,1,1
"5","Amplified",9.3,70,0,2,1,0,1,1
"6","Amplified",11.7,68,0,1,1,0,1,1
"7","Amplified",12.3,67,0,1,1,0,1,1
"8","Amplified",12.52,66,0,1,1,0,1,1
"9","Amplified",13.6,65,0,1,1,0,1,1
"10","Amplified",13.96,64,0,1,1,0,1,1
"11","Amplified",17.67,63,1,0,0.984126984126984,0.0160005120245773,0.953743254850781,1
"12","Amplified",19.19,62,0,1,0.984126984126984,0.0160005120245773,0.953743254850781,1
"13","Amplified",20.11,61,1,0,0.967993754879001,0.0230052261185256,0.925316851514398,1
"14","Amplified",20.7,60,1,0,0.951860525631017,0.0284908108777322,0.900164526786323,1
"15","Amplified",22.31,59,0,1,0.951860525631017,0.0284908108777322,0.900164526786323,1
"16","Amplified",23.7,58,1,0,0.935449137258069,0.033379734020041,0.876208168661094,0.998695423867167
"17","Amplified",25.33333333,57,0,1,0.935449137258069,0.033379734020041,0.876208168661094,0.998695423867167
"18","Amplified",27.5,56,1,0,0.91874468837846,0.0379325976954388,0.852916577556548,0.989653413516484
"19","Amplified",27.99,55,0,1,0.91874468837846,0.0379325976954388,0.852916577556548,0.989653413516484
"20","Amplified",28.5,54,1,0,0.901730897852933,0.0422881541061723,0.830005956375258,0.979653948139902
"21","Amplified",30.13333333,53,1,0,0.884717107327406,0.0463803048736716,0.807840157460731,0.9689099418604
"22","Amplified",30.58,52,0,1,0.884717107327406,0.0463803048736716,0.807840157460731,0.9689099418604
"23","Amplified",31.8,51,1,0,0.867369713066085,0.0504310374959689,0.785737130307533,0.957483349233966
"24","Amplified",35.91,50,1,0,0.850022318804763,0.0543272749935605,0.764164518390035,0.945526683165676
"25","Amplified",36.83,49,0,1,0.850022318804763,0.0543272749935605,0.764164518390035,0.945526683165676
"26","Amplified",37.36666667,48,1,0,0.83231352049633,0.0582641847070176,0.742493037660617,0.932999720217766
"27","Amplified",39.86666667,47,1,0,0.814604722187898,0.0621067621895975,0.72124290093556,0.920051833508598
"28","Amplified",40.8,46,1,0,0.796895923879465,0.0658812696987151,0.700363278390082,0.906733880958856
