"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1","Amplified or Activating Mutation",2.56,108,0,1,0,1,1
"2","Amplified or Activating Mutation",2.827,107,1,0.990654205607477,0.00938977484434951,0.972589321051408,1
"3","Amplified or Activating Mutation",3.5,106,0,0.990654205607477,0.00938977484434951,0.972589321051408,1
"4","Amplified or Activating Mutation",3.6,105,0,0.990654205607477,0.00938977484434951,0.972589321051408,1
"5","Amplified or Activating Mutation",4.166666667,104,1,0.981128684399712,0.0134729774111231,0.955559542452071,1
"6","Amplified or Activating Mutation",5.2,103,0,0.981128684399712,0.0134729774111231,0.955559542452071,1
"7","Amplified or Activating Mutation",5.8,102,1,0.971509775729127,0.0166910050836696,0.940242257164651,1
"8","Amplified or Activating Mutation",5.833333333,101,1,0.961890867058542,0.0194319209470701,0.925945275546331,0.999231881802865
"9","Amplified or Activating Mutation",6.2,100,0,0.961890867058542,0.0194319209470701,0.925945275546331,0.999231881802865
"10","Amplified or Activating Mutation",7.85,99,1,0.952174797694314,0.0219242122626137,0.912125839566248,0.993982196355
"11","Amplified or Activating Mutation",9.36,98,0,0.952174797694314,0.0219242122626137,0.912125839566248,0.993982196355
"12","Amplified or Activating Mutation",10.41,97,0,0.952174797694314,0.0219242122626137,0.912125839566248,0.993982196355
"13","Amplified or Activating Mutation",11.99,96,1,0.942256310218332,0.0242965060480547,0.898437418119062,0.98821235206903
"14","Amplified or Activating Mutation",12.26666667,95,1,0.932337822742349,0.0265009865667281,0.885147449325054,0.982044083591689
"15","Amplified or Activating Mutation",13.5,94,0,0.932337822742349,0.0265009865667281,0.885147449325054,0.982044083591689
"16","Amplified or Activating Mutation",13.67,93,0,0.932337822742349,0.0265009865667281,0.885147449325054,0.982044083591689
"17","Amplified or Activating Mutation",13.8,92,1,0.92220371597341,0.0286661483396285,0.871818736146576,0.975500592605045
"18","Amplified or Activating Mutation",14.49,91,0,0.92220371597341,0.0286661483396285,0.871818736146576,0.975500592605045
"19","Amplified or Activating Mutation",14.5,90,0,0.92220371597341,0.0286661483396285,0.871818736146576,0.975500592605045
"20","Amplified or Activating Mutation",14.8,89,1,0.911841876468091,0.0308128117523568,0.858403778138217,0.968606649756581
"21","Amplified or Activating Mutation",15.06666667,87,1,0.901360935359263,0.0329102335340718,0.845056001500084,0.961417390503727
"22","Amplified or Activating Mutation",15.3,86,1,0.890879994250434,0.0349268145824365,0.831935100137164,0.954001296525172
"23","Amplified or Activating Mutation",17.48,85,0,0.890879994250434,0.0349268145824365,0.831935100137164,0.954001296525172
"24","Amplified or Activating Mutation",18,84,1,0.880274280033167,0.0369230719631822,0.818821121817682,0.946339545281594
"25","Amplified or Activating Mutation",18.89,83,0,0.880274280033167,0.0369230719631822,0.818821121817682,0.946339545281594
"26","Amplified or Activating Mutation",19.1,82,1,0.86953922783764,0.0389084862764474,0.805694159981782,0.938443526468625
"27","Amplified or Activating Mutation",19.19,81,0,0.86953922783764,0.0389084862764474,0.805694159981782,0.938443526468625
"28","Amplified or Activating Mutation",20.86,80,0,0.86953922783764,0.0389084862764474,0.805694159981782,0.938443526468625
"29","Amplified or Activating Mutation",21.7,79,1,0.85853240216881,0.0409408753782336,0.79233301835492,0.930262741169241
"30","Amplified or Activating Mutation",22,78,1,0.847525576499979,0.0429261626893928,0.779137302142375,0.921916587546933
"31","Amplified or Activating Mutation",22.13333333,77,1,0.836518750831148,0.0448724547252024,0.766090677623958,0.91342140157929
"32","Amplified or Activating Mutation",22.31,76,0,0.836518750831148,0.0448724547252024,0.766090677623958,0.91342140157929
"33","Amplified or Activating Mutation",23.03,75,0,0.836518750831148,0.0448724547252024,0.766090677623958,0.91342140157929
"34","Amplified or Activating Mutation",24.658,74,1,0.825214443387484,0.0468898050383889,0.752755862031798,0.904647724346182
"35","Amplified or Activating Mutation",25.82,73,1,0.81391013594382,0.0488765032345882,0.739558787871475,0.89573637722389
"36","Amplified or Activating Mutation",27.616,72,0,0.81391013594382,0.0488765032345882,0.739558787871475,0.89573637722389
