"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1","Amplified",0,887,0,1,0,1,1
"2","Amplified",0.23,884,0,1,0,1,1
"3","Amplified",0.33,883,0,1,0,1,1
"4","Amplified",0.79,879,0,1,0,1,1
"5","Amplified",0.99,878,0,1,0,1,1
"6","Amplified",1.02,875,0,1,0,1,1
"7","Amplified",1.12,874,0,1,0,1,1
"8","Amplified",1.7,873,0,1,0,1,1
"9","Amplified",1.766666667,872,0,1,0,1,1
"10","Amplified",1.77,871,0,1,0,1,1
"11","Amplified",2.1,870,0,1,0,1,1
"12","Amplified",2.56,869,0,1,0,1,1
"13","Amplified",3.4,867,0,1,0,1,1
"14","Amplified",3.6,866,0,1,0,1,1
"15","Amplified",3.7,865,0,1,0,1,1
"16","Amplified",3.8,864,0,1,0,1,1
"17","Amplified",4.8,863,0,1,0,1,1
"18","Amplified",4.866666667,862,0,1,0,1,1
"19","Amplified",5.19,861,1,0.99883855981417,0.00116211524557114,0.99656609019301,1
"20","Amplified",5.32,860,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"21","Amplified",5.9,859,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"22","Amplified",6.2,858,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"23","Amplified",6.3,857,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"24","Amplified",6.4,856,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"25","Amplified",6.7,855,0,0.99883855981417,0.00116211524557114,0.99656609019301,1
"26","Amplified",6.833333333,854,1,0.997668959627034,0.0016502324218257,0.994447315866637,1
"27","Amplified",7,853,0,0.997668959627034,0.0016502324218257,0.994447315866637,1
"28","Amplified",7.1,852,0,0.997668959627034,0.0016502324218257,0.994447315866637,1
"29","Amplified",7.3,851,0,0.997668959627034,0.0016502324218257,0.994447315866637,1
"30","Amplified",7.36,850,1,0.996495231439237,0.00202706199756292,0.992544041438721,1
"31","Amplified",7.46,848,1,0.995320119138011,0.00234547257434483,0.990755091823323,0.999906180383846
"32","Amplified",7.59,847,0,0.995320119138011,0.00234547257434483,0.990755091823323,0.999906180383846
