"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1","Mutated",0,33,0,1,0,1,1
"2","Mutated",0.33,31,0,1,0,1,1
"3","Mutated",0.79,30,0,1,0,1,1
"4","Mutated",4.89,29,0,1,0,1,1
"5","Mutated",5.72,28,1,0.964285714285714,0.0363696483726654,0.897941062214486,1
"6","Mutated",7.36,27,0,0.964285714285714,0.0363696483726654,0.897941062214486,1
"7","Mutated",9.92,26,1,0.927197802197802,0.0534903062359234,0.834913267262196,1
"8","Mutated",11.93,25,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"9","Mutated",13.24,24,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"10","Mutated",14.16,23,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"11","Mutated",14.98,21,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"12","Mutated",16.49,20,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"13","Mutated",17.44,19,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"14","Mutated",17.48,18,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"15","Mutated",19.78,17,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"16","Mutated",20.11,16,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"17","Mutated",21.02,15,0,0.927197802197802,0.0534903062359234,0.834913267262196,1
"18","Mutated",25.07,14,1,0.860969387755102,0.0914096185076732,0.719746732267843,1
"19","Mutated",25.13,13,0,0.860969387755102,0.0914096185076732,0.719746732267843,1
"20","Mutated",28.88,12,1,0.78922193877551,0.12621995060796,0.616255108632427,1
"21","Mutated",30.16,11,0,0.78922193877551,0.12621995060796,0.616255108632427,1
"22","Mutated",31.77,10,1,0.710299744897959,0.164446304435786,0.514593991011934,0.980434549206397
"23","Mutated",32.98,9,0,0.710299744897959,0.164446304435786,0.514593991011934,0.980434549206397
"24","Mutated",38.04,8,0,0.710299744897959,0.164446304435786,0.514593991011934,0.980434549206397
"25","Mutated",38.57,7,0,0.710299744897959,0.164446304435786,0.514593991011934,0.980434549206397
"26","Mutated",50.66,6,1,0.591916454081633,0.245715120364866,0.365685148688984,0.95810587295838
"27","Mutated",55.58,4,1,0.443937340561225,0.379090033777273,0.211173614885751,0.933262247043489
"28","Mutated",70.3,3,0,0.443937340561225,0.379090033777273,0.211173614885751,0.933262247043489
"29","Mutated",95.63,2,1,0.221968670280612,0.80231493424294,0.046063822092263,1
"30","Mutated",140.18,1,1,0,Inf,NA,NA
"31","WT",0,2694,0,1,0,1,1
"32","WT",0.03,2684,0,1,0,1,1
"33","WT",0.16,2683,0,1,0,1,1
"34","WT",0.23,2681,0,1,0,1,1
"35","WT",0.3,2680,0,1,0,1,1
"36","WT",0.33,2679,0,1,0,1,1
"37","WT",0.36,2665,0,1,0,1,1
"38","WT",0.427,2664,1,0.999624624624625,0.000375445848552637,0.998889311084385,1
"39","WT",0.53,2663,0,0.999624624624625,0.000375445848552637,0.998889311084385,1
"40","WT",0.62,2662,0,0.999624624624625,0.000375445848552637,0.998889311084385,1
"41","WT",0.69,2661,0,0.999624624624625,0.000375445848552637,0.998889311084385,1
"42","WT",0.7,2660,0,0.999624624624625,0.000375445848552637,0.998889311084385,1
"43","WT",0.723,2657,1,0.99924840158186,0.000531660624063648,0.99820769142179,1
"44","WT",0.8,2656,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"45","WT",0.9,2655,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"46","WT",0.99,2651,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"47","WT",1,2647,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"48","WT",1.02,2644,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"49","WT",1.1,2640,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"50","WT",1.12,2638,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"51","WT",1.2,2637,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"52","WT",1.3,2636,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"53","WT",1.4,2635,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"54","WT",1.6,2632,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
"55","WT",1.61,2628,0,0.99924840158186,0.000531660624063648,0.99820769142179,1
