Array	Sample	Batch	Covariate
Adenocarcinoma(1345-5)	Adenocarcinoma	1	group 1
Adenocarcinoma(1345-6)	Adenocarcinoma	1	group 1
Adenocarcinoma(1359-2)	Adenocarcinoma	1	group 1
Adenocarcinoma(1572-1)	Adenocarcinoma	1	group 1
Adenocarcinoma(281-2)	Adenocarcinoma	1	group 1
MB-0062	Basal	2	group 2
MB-0100	Basal	2	group 2
MB-0109	Basal	2	group 2
MB-0115	Basal	2	group 2
MB-0149	Basal	2	group 2
MB-0150	Basal	2	group 2
MB-0163	Basal	2	group 2
MB-0191	Basal	2	group 2
MB-0200	Basal	2	group 2
MB-0201	Basal	2	group 2
MB-0214	Basal	2	group 2
MB-0259	Basal	2	group 2
MB-0278	Basal	2	group 2
MB-0316	Basal	2	group 2
MB-0340	Basal	2	group 2
MB-0350	Basal	2	group 2
MB-0372	Basal	2	group 2
MB-0396	Basal	2	group 2
MB-0464	Basal	2	group 2
MB-0481	Basal	2	group 2
MB-0488	Basal	2	group 2
MB-0500	Basal	2	group 2
MB-0509	Basal	2	group 2
MB-0516	Basal	2	group 2
MB-0525	Basal	2	group 2
MB-0581	Basal	2	group 2
MB-0582	Basal	2	group 2
MB-0639	Basal	2	group 2
MB-0664	Basal	2	group 2
MB-0869	Basal	2	group 2
MB-0874	Basal	2	group 2
MB-0901	Basal	2	group 2
MB-2645	Basal	2	group 2
MB-2718	Basal	2	group 2
MB-2753	Basal	2	group 2
MB-2771	Basal	2	group 2
MB-2827	Basal	2	group 2
MB-2842	Basal	2	group 2
MB-2846	Basal	2	group 2
MB-2849	Basal	2	group 2
MB-2912	Basal	2	group 2
MB-2917	Basal	2	group 2
MB-3014	Basal	2	group 2
MB-3046	Basal	2	group 2
MB-3057	Basal	2	group 2
MB-3058	Basal	2	group 2
MB-3063	Basal	2	group 2
MB-3123	Basal	2	group 2
MB-3153	Basal	2	group 2
MB-3165	Basal	2	group 2
MB-3211	Basal	2	group 2
MB-3218	Basal	2	group 2
MB-3277	Basal	2	group 2
MB-3297	Basal	2	group 2
MB-3363	Basal	2	group 2
MB-3396	Basal	2	group 2
MB-3453	Basal	2	group 2
MB-3500	Basal	2	group 2
MB-3502	Basal	2	group 2
