,0,0
0,UPF1,0.0
1,RUNX3,0.0
2,MED22,0.0
3,GRM8,0.0
4,ABO,0.0
5,BHLHE23,0.0
6,ATP7B,0.0
7,ROBO3,0.0
8,NPAS3,0.0
9,GRID1,0.0
10,IL9R,0.0
11,HIF3A,0.0
12,RAP2A,0.0
13,EVX2,0.0
14,CCL4,0.0
15,CNTNAP1,0.0
16,KCNJ6,0.0
17,CREB1,0.0
18,OPN4,0.0
19,TXN2,0.0
20,ADRB3,0.0
21,LMX1A,0.0
22,ADARB1,0.0
23,EPM2A,0.0
24,VMP1,0.0
25,NCK1,0.0
26,KCNS1,0.0
27,B4GALNT2,0.0
28,FGF17,0.0
29,CFC1,0.0
30,GPHA2,0.0
31,ACER2,0.0
32,KRTAP4-2,0.0
33,RGS20,0.0
34,STAT5A,0.0
35,GRPR,0.0
36,NPY1R,0.0
37,SRRM3,0.0
38,IL1A,0.0
39,MS4A2,0.0
40,CANT1,0.0
41,EPHA6,0.0
42,CPLX2,0.0
43,BSND,0.0
44,LHX4,0.0
45,TTBK2,0.0
46,EGR3,0.0
47,RABGAP1L,0.0
48,AKAP3,0.0
49,RXFP2,0.0
50,SLC7A1,0.0
51,SON,0.0
52,PINX1,0.0
53,GPC4,0.0
54,PER3,0.0
55,BANF1,0.0
56,NR4A3,0.0
57,TCF23,0.0
58,ADD1,0.0
59,VSNL1,0.0
60,SERTAD3,0.0
61,APC,0.0
62,CYP7B1,0.0
63,PTGER4,0.0
64,ASPH,0.0
65,IRX5,0.0
66,VHL,0.0
67,PHF2,0.0
68,FANCG,0.0
69,MAPK8,0.0
70,JAK2,0.0
71,ENDOG,0.0
72,SERPINA12,0.0
73,ZNRF1,0.0
74,ATRX,0.0
75,HS6ST2,0.0
76,PDE4A,0.0
77,GABRQ,0.0
78,KCND1,0.0
79,ZIC4,0.0
80,TXNRD1,0.0
81,DZIP1,0.0
82,DNAH11,0.0
83,SYNE1,0.0
84,RACGAP1,0.0
85,CD180,0.0
86,ST6GALNAC1,0.0
87,PCDHB2,0.0
88,CDX4,0.0
89,FBXO4,0.0
90,HNF1A,0.0
91,RABEP1,0.0
92,PLXNA1,0.0
93,TRPC1,0.0
94,EYA3,0.0
95,ZBTB33,0.0
96,SRRM1,0.0
97,SLC7A10,0.0
98,PCDHB15,0.0
99,NR6A1,0.0
100,CEP250,0.0
101,TMPRSS15,0.0
102,IKZF2,0.0
103,PIAS3,0.0
104,NLGN1,0.0
105,TNFRSF8,0.0
106,TMC1,0.0
107,MEPE,0.0
108,ENAH,0.0
109,RASGRF2,0.0
110,SYTL2,0.0
111,IFI44L,0.0
112,HS6ST3,0.0
113,GSX2,0.0
114,SHBG,0.0
115,KLF3,0.0
116,AQP9,0.0
117,SULT4A1,0.0
118,VGLL1,0.0
119,ZAN,0.0
120,GRIN2A,0.0
121,TRPM8,0.0
122,MYO1F,0.0
123,SLC6A2,0.0
124,TANK,0.0
125,TBC1D8B,0.0
126,CNNM4,0.0
127,LETM1,0.0
128,HDAC9,0.0
129,CHRDL1,0.0
130,MGMT,0.0
131,KIFC2,0.0
132,CTTN,0.0
133,MYB,0.0
134,NDST4,0.0
135,PTGFRN,0.0
136,QTRTD1,0.0
137,KCNH3,0.0
138,NET1,0.0
139,RECQL5,0.0
140,ASB10,0.0
141,KCNJ3,0.0
142,EVX1,0.0
143,IL18R1,0.0
144,GABRE,0.0
145,PCDHB1,0.0
146,KCNN3,0.0
147,HAPLN1,0.0
148,CAPN8,0.0
149,PCDH10,0.0
150,BHLHE41,0.0
151,IL5RA,0.0
152,ANKRD22,0.0
153,TUSC3,0.0
154,DHRS2,0.0
155,NCAM2,0.0
156,STYX,0.0
157,AANAT,0.0
158,NMUR1,0.0
159,HSD17B3,0.0
160,IL17A,0.0
161,STX1B,0.0
162,FGF20,0.0
163,ITPR2,0.0
164,GNRHR,0.0
165,CYLC1,0.0
166,TNFSF14,0.0
167,PTPN14,0.0
168,ERC1,0.0
169,USP26,0.0
170,PCDH15,0.0
171,SP4,0.0
172,MIXL1,0.0
173,SORCS1,0.0
174,FPR3,0.0
175,SCN9A,0.0
176,ADRA1A,0.0
177,SOX17,0.0
178,LMNA,0.0
179,CCR4,0.0
180,CCL1,0.0
181,KRTAP19-5,0.0
182,AGRP,0.0
183,KRTAP21-1,0.0
184,CACNA1E,0.0
185,GPR98,0.0
186,VCAN,0.0
187,STRC,0.0
188,RAPGEF4,0.0
189,PKHD1L1,0.0
190,COL19A1,0.0
191,ENAM,0.0
192,PIK3C2G,0.0
193,SCN3A,0.0
194,MMP20,0.0
195,MSMB,0.0
196,NPVF,0.0
197,NRG4,0.0
198,CDKN1A,0.0
199,SPRY2,0.0
200,USH2A,0.0
201,SGK3,0.0
202,AKAP10,0.0
203,ARF1,0.0
204,VAMP2,0.0
205,SLC4A4,0.0
206,SLC25A30,0.0
207,HNF1B,0.0
208,ANXA4,0.0
209,NTRK2,0.0
210,PLEKHA3,0.0
211,RASGRP1,0.0
212,PTPRF,0.0
213,BCO2,0.0
214,UBQLN2,0.0
215,TTLL3,0.0
216,MRPS2,0.0
217,BCHE,0.0
