,0,0
0,SCN10A,-100.0
1,PGAM2,-87.89993792796176
2,CYP17A1,-80.95132486210758
3,AADAC,-78.53047085261834
4,PAX1,-76.5807419378533
5,RRAD,-76.54434286757993
6,SLC1A6,-76.10473673087681
7,LMAN1L,-76.0395993115417
8,FGF22,-73.63835025115635
9,SNRPN,-73.24859873949595
10,PCK1,-73.19983319682488
11,KRTAP19-3,-71.08626233529287
12,KRTAP1-5,-67.45428322265695
13,ANGPTL7,-67.27435034500343
14,TYMS,-66.45123539911701
15,ALOX12,-65.90009159101406
16,BRDT,-65.74008031079849
17,GDPD2,-65.33808805083734
18,ANKRD36,-65.32250311357458
19,F13B,-65.07976164506343
20,HABP2,-64.97017572392461
21,HOXD9,-64.02846830081953
22,GPM6A,-62.68857398825942
23,GUCA2A,-62.285174073502645
24,PCDHB1,-62.172017712462505
25,KCNK7,-61.175969315186244
26,ZIC3,-60.393032739914
27,SPZ1,-59.88693797651175
28,RNF17,-59.21960893920109
29,MYH8,-59.07881141047855
30,CLCF1,-59.059186959139645
31,VSX1,-58.35285734034116
32,ADAM18,-58.29718864340779
33,TMPRSS15,-57.8269587563971
34,OTUD7A,-57.433467331925016
35,FAM81A,-57.063388978592286
36,BEST2,-56.86301076973762
37,ROS1,-56.77226809729151
38,SLC18A3,-56.6711546889881
39,NEUROD1,-55.73654179130967
40,GNB3,-55.1960467024127
41,VSIG2,-55.02678972335624
42,SOX5,-54.239092838494315
43,PRG3,-54.06107486622851
44,SEMA3A,-53.778926047972575
45,NR5A1,-53.730424307404526
46,CPA2,-53.38131942495957
47,WNT10B,-53.17409855675166
48,POLA2,-53.03447252377791
49,HAPLN1,-52.84171407174798
50,DENND1B,-52.73071443853661
51,FHL2,-52.32286672231425
52,KIF23,-52.12676038639555
53,SFN,-52.043740590920265
54,SYNGR4,-52.02509203880636
55,MC1R,-51.90048317260925
56,PAX6,-51.78569457366839
57,TM4SF1,-51.73899377033905
58,CGA,-51.60557017713997
59,SYT13,-51.565505486506666
60,ORM2,-51.26513127913831
61,SLC13A1,-50.81404484900129
62,TBX4,-50.26142891708364
63,TM4SF4,-50.12733445753852
64,EYA4,-50.04431425216686
65,MGMT,-49.896760738760655
66,AKAP4,-49.381002106221075
67,SLC2A2,-49.289291601484315
68,NTS,-49.2867270226883
69,OOSP1,-49.14967337459776
70,GDAP1L1,-48.740625708511914
71,SCT,-48.633824902843855
72,SLC35F4,-48.37018300764542
73,CR2,-48.08152553997283
74,THBD,-48.04257906242782
75,CRMP1,-47.75541559364378
76,CHRM1,-47.75182767448429
77,PRKCQ,-47.50358834048032
78,SHH,-47.28501860372121
79,MUC5AC,-47.183505244045065
80,PHOX2B,-47.13301580746288
81,AANAT,-46.88626437979479
82,CSMD1,-46.782837308189144
83,PRDM5,-46.41185603586146
84,CDX2,-46.3149054578522
85,OLFM1,-45.928812288704535
86,DLX4,-45.88739334168203
87,NUSAP1,-45.54428938461972
88,ALOX12B,-45.47102396986504
89,RSPH6A,-45.30077883312228
90,TBX1,-45.19852128173279
91,CRTAM,-44.98243488755759
92,WNT7A,-44.87489665264102
93,NPAS3,-44.753968124284285
94,NPTX2,-44.33312306785826
95,ORM1,-44.25163487043956
96,LHPP,-44.24245138416243
97,NTRK2,-44.223895343386374
98,KRT33B,-44.13415862409788
99,CCNB1IP1,-44.09043766194628
100,SPOCK3,-43.99435831886556
101,HOXA4,-43.96022461814887
102,ADRB3,-43.83189027037409
103,PTTG1,-43.78003542209197
104,SLC26A8,-43.75088614575574
105,IL1F10,-43.65556994088331
106,PCTP,-43.60607324478794
107,PAX3,-43.589553286891544
108,SNCG,-43.38483742506829
109,BRS3,-43.33837495725206
110,PBX4,-43.25314685221091
111,HTR2C,-43.11673957569854
112,REEP2,-42.78595791264493
113,KCNE3,-42.63627043487119
114,CCR6,-42.5754261652997
115,BDNF,-42.5469142922859
116,CARD14,-42.48763378246733
117,BFSP1,-42.43077710376702
118,TUBB3,-42.16577682836163
119,PTGER3,-42.13864964250537
120,SERPINC1,-42.08170441481084
121,RAB3C,-42.02950061980881
122,ONECUT1,-41.57764637231833
123,MAGI2,-41.55423958572949
124,FOXB2,-41.48038548796812
125,ADCY2,-41.451332740475436
126,PLA2G2D,-41.40009399589674
127,TRIM17,-41.3996026499689
128,EFNB1,-41.20868982448647
129,HAO2,-41.12439526265216
130,MRPS11,-41.08072474443741
131,POU3F3,-41.0804291907443
132,HNMT,-40.68172724010002
133,GDNF,-40.642732777505856
134,KAZALD1,-40.55968558726583
135,IFNA5,-40.55762916702943
136,KRTAP19-5,-40.413832499312754
137,ALDH1A3,-40.36392585361902
138,KALRN,-40.3190771520897
139,REL,-40.24964876407555
140,ITIH1,-40.17626215480459
141,CENPM,-40.153351672795985
142,CNTN6,-39.96213925639022
143,GJB1,-39.96126653045228
144,SEBOX,-39.89521353235472
145,CYP2E1,-39.868800567467275
146,OSBPL10,-39.792085755950836
147,GJA10,-39.64527843957796
148,SCRT1,-39.636588113044105
149,PTPRR,-39.62160603905024
150,TRIM29,-39.580703594802976
151,EDAR,-39.52761454786018
152,RPL27A,-39.42320878580005
153,TRO,-39.31384102924795
154,GCGR,-39.30439952030643
155,KCNE1,-39.25048721963115
156,C6,-39.24757427978238
157,CD109,-39.2204195449509
158,NFAM1,-39.18763111654747
159,WT1,-39.14672849413899
160,FOXL1,-39.14606365909831
161,EVPL,-39.07360735451123
162,BARD1,-39.0344877071189
163,PHKG1,-39.02969330416505
164,GJA8,-39.01800040077182
165,CLCNKB,-38.82147883224062
166,SPAG6,-38.726248666614445
167,PLA2G2A,-38.53037297034066
168,TRPV4,-38.523314483731255
169,TMEM106C,-38.40216080879972
170,GABRA3,-38.38915215071751
171,PLK4,-38.35665753112421
172,FEN1,-38.342721703191316
173,DUSP13,-38.30400778703853
174,SYCN,-38.21428681772714
175,CYP39A1,-38.211881862050966
176,COL19A1,-38.09404370494776
177,RSPO2,-38.069221687593455
178,ITIH2,-37.955752556253856
179,ZSWIM1,-37.89430102417863
180,KRT15,-37.781941359969395
181,RXRG,-37.58336155520558
182,KCNH1,-37.569914300608446
183,UBE2C,-37.55377514522787
184,KRT80,-37.309841359314895
