,0,0
0,SPTBN2,0.21905406
1,NR2C2AP,0.2193874
2,KLHL24,0.21971236
3,ICAM2,0.22009884
4,PPM1A,0.22010633
5,KCNA1,0.2202056
6,MKI67,0.2205602
7,LAIR1,0.22058797
8,PTGDS,0.2227389
9,POLD4,0.2232388
10,NUP50,0.2234346
11,FNTA,0.22351307
12,PDZRN3,0.22441363
13,VPS16,0.22461174
14,COQ9,0.22595032
15,STAMBPL1,0.22644062
16,PGAM1,0.22644764
17,SLC35C1,0.22694315
18,PRM3,0.22910932
19,CACHD1,0.22940156
20,MYLPF,0.22975075
21,UCK2,0.23012696
22,LRRC42,0.23037747
23,KCNE3,0.23060916
24,TUBD1,0.23110965
25,S100A4,0.23245749
26,HERPUD2,0.2327183
27,ADSL,0.23297684
28,GOLGA7,0.23348907
29,HRG,0.23520213
30,GTF2B,0.23588344
31,ARX,0.2361193
32,MPHOSPH6,0.23621318
33,TMED4,0.23629852
34,PVRL4,0.23652121
35,PTPN23,0.23668218
36,GZMB,0.23686546
37,TIMP2,0.23696415
38,RTN1,0.23725207
39,BLNK,0.23811148
40,ZNHIT2,0.23881185
41,NEDD4,0.23902331
42,C1QTNF1,0.23910184
43,SIM1,0.23981526
44,YTHDF3,0.24007447
45,PPAP2C,0.24063553
46,LDB2,0.24102376
47,CTNND2,0.2413602
48,C1QTNF3,0.24140315
49,AATK,0.2417861
50,HERPUD1,0.24193911
51,RACGAP1,0.24207346
52,PPP2R5C,0.24234715
53,DUSP12,0.24472418
54,SH2B2,0.24487591
55,EFNB2,0.24577802
56,NUDCD1,0.24755055
57,MPP6,0.24901824
58,CRMP1,0.25016358
59,RIPK2,0.25109485
60,STBD1,0.25144356
61,H1F0,0.2520048
62,POFUT2,0.2526619
63,TRPV4,0.2528069
64,ZMYND8,0.25302052
65,LCLAT1,0.25309914
66,DDX50,0.2531313
67,MAP2K5,0.25316095
68,ZAP70,0.25341815
69,DLX6,0.25421008
70,DVL2,0.25474706
71,HTR3B,0.25701272
72,TMED9,0.2583132
73,MFSD10,0.25900933
74,TFPI2,0.25928733
75,ARHGEF40,0.25984114
76,RBMS1,0.26018804
77,MFAP4,0.26056972
78,GRB7,0.26104116
79,PROL1,0.2612868
80,RAI14,0.26150542
81,WDR90,0.26185784
82,ST6GALNAC2,0.26229215
83,PDCD2L,0.26334375
84,ALKBH4,0.26342285
85,AKAP8L,0.26370093
86,DHRS1,0.26387724
87,RABEP1,0.2638808
88,CMBL,0.26494002
89,TUBB2B,0.26574898
90,PNRC2,0.2665272
91,RGS18,0.26663405
92,CYTIP,0.2667699
93,HIPK2,0.26720864
94,ACTN3,0.2674507
95,SNAPIN,0.26860404
96,MYO15B,0.26880255
97,SLC4A7,0.26883924
98,DOCK1,0.26945785
99,VIPR2,0.26977688
100,CHCHD1,0.27097166
101,GBX2,0.2713895
102,ITPKA,0.27160892
103,VPS35,0.2716656
104,LYPD1,0.2721977
105,NARF,0.27321583
106,PON3,0.2732807
107,M6PR,0.27334306
108,MAT1A,0.27350587
109,RELB,0.27407742
110,CLIC3,0.27415663
111,PREB,0.2748639
112,SLC26A7,0.2756812
113,ICA1,0.27608657
114,HRC,0.27724773
115,PYGO2,0.27760154
116,MRPS18B,0.27858028
117,TCN2,0.27995867
118,CD82,0.28126228
119,GALR2,0.2818884
120,REEP3,0.28207308
121,RNF8,0.28345856
122,SGCD,0.28413057
123,ST3GAL5,0.2843045
124,PAPLN,0.2854763
125,KRTAP4-2,0.28638166
126,TMEFF2,0.28729665
127,ARPC5,0.28809792
128,FABP1,0.28816307
129,ZXDC,0.28835136
130,NEFH,0.28946745
131,SS18,0.2895358
132,PURA,0.28961122
133,DLX5,0.28964177
134,ADM,0.28986362
135,TSC22D3,0.29015425
136,KIF18A,0.29036823
137,MYO5A,0.29042023
138,ZMPSTE24,0.2905192
139,LRPPRC,0.29069784
140,PSME3,0.2917129
141,CDHR5,0.29247153
142,CCT3,0.2927349
143,RRAGC,0.29344797
144,CEP70,0.29348704
145,MAGEL2,0.29360837
146,LCAT,0.29410464
147,COL8A1,0.29430822
148,SOCS7,0.2944125
149,MARK3,0.2948567
150,GANAB,0.2951185
151,SURF4,0.29524875
152,ST8SIA3,0.29623637
153,FAM174B,0.2965884
154,DPM2,0.2984247
155,LHX8,0.29843977
156,LPAR2,0.29894942
157,FRRS1,0.299076
158,TMX1,0.30024546
159,SLC44A2,0.3008148
160,CDK18,0.30154517
161,CRIM1,0.30179402
162,REL,0.30187452
163,SERPINF1,0.30209863
164,TRAPPC4,0.30219772
165,DPP3,0.30226108
166,TBPL1,0.30273736
167,FXYD1,0.30348632
168,N6AMT2,0.30354053
169,SLC6A13,0.3037445
170,PIM1,0.3040436
171,TTC33,0.30431443
172,RGS8,0.30447733
173,OTOF,0.30466962
174,OSBP,0.3051946
175,LFNG,0.30576104
176,RLN1,0.30777916
177,SCNN1G,0.30794752
178,FAAH,0.3090395
179,SNAP47,0.3092245
180,NEK9,0.3109084
181,PDXDC1,0.3111679
182,MYO6,0.31155363
183,FXYD2,0.3120411
184,SOST,0.31224367
185,FBP1,0.31255785
186,HDAC11,0.3129226
187,PTP4A3,0.31409168
188,NFKBIZ,0.31469595
189,FAM134B,0.31547904
190,CACNA1E,0.3155318
191,ZFPM1,0.31710696
192,DLG2,0.3173422
193,MORF4L2,0.3179865
194,CPE,0.31851143
195,GPR146,0.32061842
196,ARL4C,0.32096648
197,SOBP,0.3223243
198,MPP5,0.32312644
199,PXMP4,0.32396355
200,APOA1BP,0.32505766
201,TM4SF1,0.32580203
202,CHD4,0.32656944
203,TMIGD1,0.32703272
204,CCDC114,0.3275634
205,COL16A1,0.32764283
206,KCNJ6,0.3281555
207,TLE2,0.32837543
208,MET,0.32957533
209,TMSB4X,0.33162594
210,KLF6,0.33218622
211,PYGB,0.33301538
212,HLTF,0.3341023
213,CNNM3,0.33411974
214,PTER,0.3346164
215,KDM4B,0.3350425
216,ABHD14A,0.33510137
217,KLC4,0.33679327
218,PAICS,0.3378052
219,CASP12,0.3378484
220,CDON,0.33814263
221,FZR1,0.33847928
222,APLN,0.33920068
223,NEUROD4,0.33983234
224,GOPC,0.3409111
225,MYH11,0.3409796
226,IL15RA,0.3410687
227,NT5C1B,0.34217954
228,GSS,0.3421913
229,P2RY6,0.34240317
230,METTL6,0.34263608
231,TNXB,0.3429342
232,PRM1,0.34323707
233,SPEN,0.3432516
234,SDCCAG8,0.34378147
235,ALAD,0.34613696
236,SDR42E1,0.34669462
237,MVD,0.34802428
238,CUEDC1,0.34806743
239,ATG5,0.34876308
240,SLC15A2,0.34911638
241,NPRL2,0.35063246
242,DAZAP1,0.35085088
243,POPDC3,0.35128525
244,COL9A3,0.35232204
245,IGFBP4,0.35245305
246,REEP5,0.35423425
247,ATG7,0.3543243
248,CDK2,0.35440743
249,NIPBL,0.354552
250,COL19A1,0.35479882
251,CD177,0.354997
252,ARHGAP31,0.35805196
253,HES6,0.35865626
254,TSPAN33,0.35953486
255,RCSD1,0.35983732
256,S100PBP,0.36017776
257,TRO,0.36025092
258,CALU,0.3621169
259,RNF103,0.36297205
260,DPEP3,0.36318
261,COG2,0.3649497
262,IFNG,0.3652266
263,SSR3,0.36858281
264,KRT18,0.36863685
265,SEMA6B,0.369224
266,KLHL36,0.3694681
267,AMELX,0.36987883
268,CX3CL1,0.37023598
269,WDR31,0.3704962
270,ELP2,0.37066862
271,NTS,0.37657306
272,SLC12A6,0.37734696
273,TRPM5,0.3777895
274,ANLN,0.3778958
275,SREK1IP1,0.3789684
276,FEZF2,0.37955433
277,CPS1,0.3800305
278,ANKRD49,0.38012218
279,ARF5,0.38155445
280,GLIPR1,0.38205817
281,EMG1,0.3827039
282,STARD8,0.38445365
283,PITPNM2,0.38537946
284,CYP4B1,0.38565916
285,PAK3,0.38625288
286,TRIM28,0.38725004
287,ORC6,0.38749367
288,TMEM150A,0.38779366
289,UBXN11,0.38819578
290,CSNK2B,0.38865998
291,SEMA3F,0.3909335
292,RBFOX1,0.39156884
293,DUSP14,0.39226747
294,OMP,0.39229012
295,CPEB1,0.39412636
296,SCN4A,0.39635316
297,AP1S2,0.39656806
298,DGCR6,0.397608
299,BCS1L,0.39824754
300,BAX,0.3988354
301,SPON2,0.39965227
302,FAM198B,0.4001202
303,IGSF8,0.4004614
304,SPZ1,0.40086675
305,ANAPC1,0.4064553
306,FGF14,0.4075536
307,HDHD3,0.40779257
308,LPIN1,0.4083841
309,COL9A1,0.40843278
310,MOXD1,0.4120593
311,CCT7,0.41262946
312,AKIRIN2,0.41430295
313,CNOT6L,0.41537243
314,CTDNEP1,0.4163256
315,HSD17B6,0.41776305
316,CACYBP,0.41860092
317,CXCL5,0.41906768
318,CLDN8,0.41959015
319,GRIK3,0.422247
320,PRC1,0.42251143
321,SIX3,0.42287683
322,MAPK8,0.42361113
323,ANAPC2,0.4238974
324,EPHB6,0.4241634
325,PRPH,0.42589405
326,RAB1B,0.4260516
327,SLCO3A1,0.42615303
328,DGCR8,0.42709965
329,ERI1,0.4275019
330,GALNT10,0.42909142
331,PDSS1,0.42938766
332,DHX36,0.4295786
333,ACOT8,0.4304827
334,ETFB,0.43100318
335,VPS39,0.4313915
336,LARP4B,0.4314588
337,RPL7L1,0.43280506
338,SSR4,0.43502477
339,JMJD6,0.4359019
340,PTK7,0.43758392
341,POC5,0.4386597
342,PPP1CB,0.4390368
343,BZW2,0.43937722
344,PLA2G7,0.44081515
345,NKD1,0.44149974
346,SERBP1,0.44169635
347,CASP6,0.44228995
348,PITX2,0.44284287
349,NUP155,0.44542792
350,PDE7B,0.44578916
351,AHCTF1,0.4462574
352,BAD,0.44777593
353,KRT33A,0.4486579
354,GJA4,0.4490735
355,GOLM1,0.45176739
356,LTF,0.4521096
357,ATP6V1G2,0.45293543
358,NR2F6,0.45339888
359,PROX1,0.4574872
360,DENND1B,0.4574953
361,ATP8B2,0.45800996
362,BCL2L13,0.45804736
363,APOA5,0.45880318
364,RAPGEF4,0.4619999
365,ATOH1,0.4622486
366,SPNS1,0.46350038
367,KIT,0.46357274
368,TEX12,0.46474662
369,CYB5RL,0.46496814
370,MBD3,0.46502984
371,PECAM1,0.4654002
372,BCL6,0.46547636
373,UBE3C,0.46636355
374,ZYX,0.4668004
375,TJP3,0.46726102
376,MCM3,0.4681094
377,SYNGR2,0.46842596
378,BNIP3,0.46892563
379,REEP6,0.46908087
380,PICK1,0.4694322
381,GAS7,0.46965563
382,MIOS,0.47014835
383,THAP4,0.47077543
384,CDCA5,0.47124428
385,MESP1,0.47138008
386,RXRB,0.47156024
387,CCM2,0.47206134
388,ODF1,0.47230488
389,CDC42SE2,0.47288916
390,ASB11,0.47477308
391,SLC30A1,0.47483668
392,STXBP1,0.47879693
393,MALL,0.48198295
394,C2,0.48261452
395,SEMA3A,0.48968852
396,TEF,0.48973113
397,BCL9,0.48996532
398,FRZB,0.49033308
399,VGLL1,0.49174157
400,SLC22A13,0.49313718
401,ADIPOR1,0.49531427
402,MYOG,0.49540782
403,DDRGK1,0.49602744
404,STAP2,0.49614733
405,SLC27A2,0.4966942
406,PCSK6,0.4973232
407,NR1H2,0.4984241
408,FAM161A,0.49914294
409,POLR1C,0.49990124
410,CD274,0.5008297
411,NAPA,0.50306654
412,ZWINT,0.50402015
413,SCAND1,0.5042721
414,FOXE3,0.5049841
415,DRAM2,0.5052238
416,POLR1E,0.5058413
417,TRIP13,0.50628155
418,ADCY2,0.5116953
419,GNG2,0.5154424
420,TSGA13,0.5168733
421,SCARA5,0.51793617
422,SUN2,0.518456
423,PDK4,0.5202345
424,PI15,0.5226164
425,PTRH2,0.5243292
426,E2F5,0.5257233
427,KBTBD4,0.5266457
428,CDK7,0.52754486
429,CCNB3,0.52759933
430,ACR,0.52769977
431,SERPINB11,0.52796745
432,MST1R,0.52844673
433,MAGOHB,0.52955836
434,UQCRB,0.5304135
435,UHRF1,0.53113174
436,NIPA2,0.5327677
437,SIAE,0.53336185
438,NCS1,0.5372551
439,SPAG1,0.538161
440,CCL20,0.5383592
441,GUCY1A3,0.53846806
442,LRP4,0.5420171
443,RNF25,0.5427874
444,RDM1,0.5447693
445,HTR1B,0.544841
446,IAH1,0.5463644
447,MCM4,0.5482943
448,FBXL20,0.54929155
449,SLC35B4,0.554943
450,CD84,0.55648166
451,MPP2,0.55724096
452,SACM1L,0.5579625
453,ZCCHC3,0.5582185
454,GJC1,0.55856067
455,RCAN2,0.56102365
456,PGK2,0.56311476
457,OSBPL10,0.56382304
458,CD74,0.56563807
459,GOT1,0.5658604
460,STK32C,0.56618696
461,ADAMTS8,0.56628984
462,SLC22A5,0.5702935
463,LMX1A,0.57150775
464,KRTAP19-1,0.5719859
465,KRT19,0.57311356
466,SHKBP1,0.57393515
467,ADAMTS1,0.5776466
468,GRIA1,0.5779705
469,ISOC1,0.57935244
470,CDH17,0.58052766
471,AURKB,0.58127445
472,TERF2,0.5827805
473,TRIM3,0.58625865
474,FGD3,0.5863224
475,RNF138,0.5877238
476,PDLIM4,0.58817667
477,FOXN2,0.5886915
478,SEC61A2,0.5908752
479,ALG3,0.5922689
480,FOXM1,0.5927421
481,ADA,0.5934047
482,MRPL39,0.5941731
483,PDE6D,0.59657866
484,LHB,0.6008529
485,SNRNP48,0.6060454
486,SDPR,0.60649675
487,MRPS7,0.60649943
488,SORD,0.6114108
489,B3GALNT2,0.6129414
490,CLEC14A,0.6130588
491,MMP15,0.6132711
492,ACYP1,0.6134449
493,MAX,0.618809
494,TYROBP,0.61993486
495,ELF1,0.62690526
496,PHOSPHO2,0.6270902
497,BIRC2,0.6306969
498,SPDEF,0.630724
499,BAIAP2L1,0.63254195
500,BCL11A,0.6326139
501,PAIP2,0.63397586
502,TH,0.63416463
503,ARHGEF5,0.6352982
504,RERG,0.6364855
505,ADAMTS7,0.6366724
506,GHRH,0.64330184
507,IGFALS,0.643465
508,VPS53,0.6481248
509,BIRC5,0.6495904
510,SLMAP,0.6514744
511,PTPN5,0.6521148
512,KRTAP8-1,0.653374
513,EFHD1,0.6577398
514,NUBP2,0.6581328
515,RETN,0.66302854
516,RPP30,0.6640789
517,ZIC5,0.6646066
518,FKBPL,0.66565347
519,PLTP,0.66568077
520,FGF12,0.66594064
521,GPCPD1,0.66624033
522,TTC13,0.66635054
523,LGALS12,0.6691713
524,KRT17,0.66965854
525,RPL38,0.6712078
526,DPYD,0.67487407
527,CD14,0.6758015
528,MRPL11,0.67814314
529,IL3,0.6816401
530,RABEPK,0.6825874
531,CDHR1,0.68303144
532,ALKBH5,0.6842137
533,NAT1,0.68522197
534,MFGE8,0.6857292
535,KLHL26,0.6865861
536,SH2B3,0.6888312
537,SESN2,0.6951431
538,LRP6,0.6971249
539,NUMB,0.69728935
540,NCK1,0.6999604
541,PTPRT,0.7002411
542,LHX1,0.7043974
543,SLC41A1,0.70923024
544,VKORC1,0.71513027
545,CORO2A,0.7188468
546,ACP5,0.72129613
547,SPIN1,0.72177696
548,PSCA,0.7238501
549,NIF3L1,0.72395676
550,UBE2C,0.7265062
551,TMEM176A,0.7269982
552,TBC1D8B,0.7287235
553,DUSP6,0.7295934
554,SMAD4,0.7334017
555,TMEM223,0.7364779
556,APOA4,0.73752075
557,SUB1,0.7377652
558,TAX1BP1,0.7385963
559,MED30,0.7403153
560,SYN2,0.74066746
561,KPNA4,0.74469626
562,SLC15A1,0.7452151
563,SLC35F4,0.7456666
564,EGR3,0.74576604
565,OMA1,0.7459146
566,SLC12A7,0.7474596
567,GFRA2,0.74867976
568,ANO1,0.7494743
569,TLR9,0.75007516
570,DQX1,0.7512496
571,SRRT,0.75255984
572,CTBP1,0.75499094
573,MAS1,0.7576401
574,SH3BGRL,0.7625097
575,RHPN2,0.77127844
576,HMGN3,0.77403694
577,KLHDC3,0.7758678
578,GATA1,0.7766901
579,CALML3,0.781777
580,KCTD20,0.78570616
581,PRODH,0.786609
582,EXO1,0.7889713
583,TTYH1,0.7890205
584,SHF,0.7925271
585,SOCS2,0.79264116
586,WNT11,0.7930206
587,NLRP6,0.79449296
588,CLSTN2,0.795593
589,LTBP4,0.7957374
590,MLPH,0.797047
591,IL1RAP,0.7986483
592,SEZ6L,0.7988254
593,TOM1L2,0.80152285
594,TTK,0.8061244
595,CCDC50,0.81148475
596,WAC,0.8120428
597,NFATC1,0.81213
598,ATP2C2,0.81585366
