,0,0
0,MMP3,0.029165315
1,TXLNB,0.029171124
2,GTF3C2,0.02922796
3,SPRR3,0.029244438
4,TRPC4,0.029338486
5,NMNAT1,0.02936507
6,DCTN3,0.029383274
7,DRG2,0.02940532
8,ALDH3A2,0.029634694
9,EBAG9,0.029683849
10,CLEC14A,0.02976467
11,GPN3,0.029775867
12,CD79A,0.029800864
13,ATP7A,0.030115018
14,CDK16,0.030222334
15,APOH,0.030503748
16,PPM1M,0.030589193
17,PLA2G2A,0.030622046
18,MYL6,0.030719873
19,SPATS2,0.030736368
20,MRPL27,0.030831847
21,TMEM106A,0.030850783
22,BTN1A1,0.030876871
23,APOA1BP,0.030912232
24,MPZ,0.030952465
25,TNFSF9,0.031080434
26,KCNMB2,0.031154022
27,DUOXA1,0.031162748
28,PLA2G4A,0.031235047
29,TAF1A,0.031279292
30,PPP1R7,0.03135384
31,SLC23A2,0.03147604
32,EGLN1,0.031508364
33,CHFR,0.031822167
34,CD200R1,0.031904142
35,CADPS,0.031941544
36,UBAP2,0.03202246
37,IL17A,0.03259138
38,SLC16A8,0.03261378
39,MGAT4C,0.032634705
40,PREB,0.03266083
41,CD177,0.03286471
42,SELENBP1,0.032956824
43,ADI1,0.033018462
44,FBXO17,0.03306917
45,LIN28A,0.033115976
46,LAMP2,0.03324307
47,HOXB7,0.033322223
48,RPAP3,0.03353178
49,SLC5A9,0.03355387
50,NAA20,0.03357766
51,GABRR2,0.0336342
52,CHRND,0.033725314
53,PDK2,0.033840824
54,SLC44A4,0.034009077
55,UCHL1,0.03429397
56,GABRA6,0.034327623
57,CST11,0.034396835
58,CLTC,0.034440555
59,EIF5,0.03448567
60,ELOVL1,0.034866173
61,PSMG3,0.03494186
62,IFFO1,0.034998123
63,FOLH1,0.035018086
64,MSGN1,0.0350652
65,GC,0.03516638
66,OPN4,0.0354135
67,HMGN3,0.035758723
68,REXO4,0.03581458
69,RTN4R,0.03589403
70,ARRB2,0.036289264
71,FRRS1,0.036351975
72,NAGLU,0.03635792
73,CDKN2A,0.03644037
74,KIFC3,0.03646498
75,CLCA4,0.037020486
76,GRIK2,0.037324354
77,SNAI1,0.037404004
78,EIF4EBP1,0.03741223
79,SHD,0.03748928
80,HSP90B1,0.037587706
81,EPHX1,0.037724547
82,GTPBP3,0.037935223
83,PPA1,0.03847783
84,GABBR1,0.038609255
85,TCF12,0.039016128
86,SNTB1,0.039142087
87,IL3,0.03922667
88,GJB3,0.039347377
89,CTF1,0.039628252
90,TCEA3,0.039712854
91,CCT8,0.04012971
92,RAB17,0.04017862
93,HMGCS2,0.040196635
94,GNA15,0.040320832
95,SPRR2D,0.04054782
96,TOR2A,0.04064401
97,DNAJC28,0.040701415
98,PDPK1,0.040790737
99,KCNQ1,0.04102379
100,HOXA7,0.041039333
101,INTS4,0.0411466
102,CCL22,0.041307364
103,PSMD11,0.041393653
104,GOLGA7,0.041404016
105,MADCAM1,0.041624714
106,MYADM,0.041680858
107,ZRANB1,0.042076834
108,SDCCAG3,0.042327475
109,GPATCH4,0.042457033
110,CFL2,0.042531528
111,CBX6,0.042541582
112,SERPINA12,0.042590156
113,SYCP1,0.042650923
114,LYNX1,0.042804264
115,TPCN1,0.042948972
116,NFATC2IP,0.04302714
117,ZIC3,0.043897778
118,TUBGCP2,0.04394575
119,AKAP4,0.043993298
120,CTTN,0.04406463
121,LZTS2,0.04417045
122,BCL2L15,0.04422237
123,HEY2,0.04448994
124,PRX,0.045219474
125,FETUB,0.04586884
126,AGER,0.04621105
127,PCDHB15,0.04657859
128,TAGLN3,0.046587776
129,VPS4A,0.046966467
130,SMPD4,0.04710275
131,PSMB5,0.04711925
132,MXD1,0.04721365
133,CABP2,0.047340084
134,TOE1,0.047380958
135,NCS1,0.047502827
136,BOLA1,0.04800539
137,ATP6V1B2,0.048642647
138,TNS1,0.048972208
139,POU2F2,0.049217865
140,MAP3K14,0.04982514
141,PTGFR,0.0505989
142,AARSD1,0.050691195
143,KIF5A,0.050735515
144,ECEL1,0.051035255
145,MYO1D,0.051260676
146,MACF1,0.051396858
147,MYO10,0.05175197
148,RPS6KB2,0.051860884
149,ERBB4,0.052035425
150,DUSP2,0.05210555
151,UBTD1,0.0527304
152,RAB3GAP2,0.052811198
153,INPPL1,0.053040132
154,TSPAN12,0.05327309
155,GPR83,0.053556286
156,SYN3,0.053674
157,RPS6,0.05395962
158,CNR2,0.054412685
159,CLTB,0.05467402
160,ZFR,0.054982014
161,RSPH9,0.05512941
162,SYNPO,0.055471435
163,VSTM2A,0.055718143
164,SEMA3A,0.05572377
165,IDS,0.056031886
166,ERAP1,0.05609301
167,UQCRH,0.05616553
168,EDA,0.056720052
169,ATP1B4,0.057163626
170,TFAP2D,0.05757313
171,IDO2,0.05809156
172,POMGNT1,0.058316447
173,CEPT1,0.058318697
174,STMN1,0.05854336
175,TRAPPC4,0.058569893
176,ARHGAP6,0.05866182
177,FDPS,0.058694616
178,INTS12,0.059073325
179,PYROXD1,0.05915519
