Gene stable ID,HGNC ID,HGNC symbol,Chromosome/scaffold name,Karyotype band,Gene start (bp),Gene end (bp)
ENSG00000210049,HGNC:7481,MT-TF,MT,,577,647
ENSG00000211459,HGNC:7470,MT-RNR1,MT,,648,1601
ENSG00000210077,HGNC:7500,MT-TV,MT,,1602,1670
ENSG00000210082,HGNC:7471,MT-RNR2,MT,,1671,3229
ENSG00000209082,HGNC:7490,MT-TL1,MT,,3230,3304
ENSG00000198888,HGNC:7455,MT-ND1,MT,,3307,4262
ENSG00000210100,HGNC:7488,MT-TI,MT,,4263,4331
ENSG00000210107,HGNC:7495,MT-TQ,MT,,4329,4400
ENSG00000210112,HGNC:7492,MT-TM,MT,,4402,4469
ENSG00000198763,HGNC:7456,MT-ND2,MT,,4470,5511
ENSG00000210117,HGNC:7501,MT-TW,MT,,5512,5579
ENSG00000210127,HGNC:7475,MT-TA,MT,,5587,5655
ENSG00000210135,HGNC:7493,MT-TN,MT,,5657,5729
ENSG00000210140,HGNC:7477,MT-TC,MT,,5761,5826
ENSG00000210144,HGNC:7502,MT-TY,MT,,5826,5891
ENSG00000198804,HGNC:7419,MT-CO1,MT,,5904,7445
ENSG00000210151,HGNC:7497,MT-TS1,MT,,7446,7514
ENSG00000210154,HGNC:7478,MT-TD,MT,,7518,7585
ENSG00000198712,HGNC:7421,MT-CO2,MT,,7586,8269
ENSG00000210156,HGNC:7489,MT-TK,MT,,8295,8364
ENSG00000228253,HGNC:7415,MT-ATP8,MT,,8366,8572
ENSG00000198899,HGNC:7414,MT-ATP6,MT,,8527,9207
ENSG00000198938,HGNC:7422,MT-CO3,MT,,9207,9990
ENSG00000210164,HGNC:7486,MT-TG,MT,,9991,10058
ENSG00000198840,HGNC:7458,MT-ND3,MT,,10059,10404
ENSG00000210174,HGNC:7496,MT-TR,MT,,10405,10469
ENSG00000212907,HGNC:7460,MT-ND4L,MT,,10470,10766
ENSG00000198886,HGNC:7459,MT-ND4,MT,,10760,12137
ENSG00000210176,HGNC:7487,MT-TH,MT,,12138,12206
ENSG00000210184,HGNC:7498,MT-TS2,MT,,12207,12265
